id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
1922,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Puma Mens Slim Fit Black Polo T-shirt
1923,Women,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Kalenji Women Running Shoe
1924,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,Puma Mens Racing White T-shirt
1925,Unisex,Accessories,Bags,Backpacks,Black,Fall,2010.0,Sports,Quechua Black Bag
1926,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Casual,Puma Mens Ocean Racing Blues T-shirt
1927,Unisex,Accessories,Bags,Backpacks,Navy Blue,Summer,2011.0,Sports,Domyos Navy Blue Bag
1928,Men,Apparel,Topwear,Tshirts,Green,Fall,2010.0,Casual,Puma Mens One Love T-shirt
1929,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2010.0,Sports,Quechua Men's Lighweight Black Shoe
1930,Unisex,Accessories,Bags,Backpacks,Red,Fall,2010.0,Sports,Quechua 22L Red Bag
1931,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2010.0,Casual,Puma Men's Jamaica Jam Navy Blue T-shirt
1932,Women,Footwear,Shoes,Casual Shoes,Grey,Fall,2010.0,Casual,Quechua Women Arpenaz Flex Grey Shoe
1933,Unisex,Accessories,Bags,Backpacks,Grey,Fall,2010.0,Sports,Quechua Arpenaz 20L Dark Grey Bag
1934,Unisex,Accessories,Bags,Backpacks,Purple,Summer,2011.0,Sports,Quechua Forclaz 25L Air Purple Backpack
1935,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011.0,Sports,Quechua 22L Blue Bag
1936,Unisex,Accessories,Bags,Backpacks,Brown,Fall,2010.0,Sports,Quechua Arpenaz 30L Brown Bag
1937,Women,Footwear,Shoes,Sports Shoes,Black,Fall,2010.0,Sports,Kalenji Women Black Pink Shoe
1938,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Casual,Puma Men's Jamaica Jam Blues T-shirt
1939,Women,Accessories,Bags,Handbags,Blue,Summer,2011.0,Sports,Geonaute Women Large Outdoor Bag Bag
1941,Women,Accessories,Bags,Handbags,Brown,Summer,2011.0,Sports,Domyos Brown Bag
1942,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Casual,Puma Mens Reggae All Night White T-shirt
1943,Unisex,Accessories,Bags,Duffel Bag,Grey,Summer,2011.0,Casual,Domyos Grey Duffle Duffle Bag
1944,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Casual,Puma Mens Reggae All Night Blues T-shirt
1945,Men,Apparel,Topwear,Tshirts,Green,Fall,2010.0,Sports,Puma Mens Reggae All Night Green T-shirt
1946,Men,Apparel,Topwear,Tshirts,Green,Fall,2010.0,Casual,Puma Mens One Love Reggae Polo T-shirt
1947,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,Puma Mens Cricket Way of Life T-shirt
1948,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Casual,Puma Mens Keyboard Sidebar Black Polo T-shirt
1949,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Casual,Puma Mens Keyboard Sidebar White Polo T-shirt
1950,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Casual,Puma Mens Colour Splash T-shirt
1951,Women,Footwear,Shoes,Sports Shoes,Purple,Fall,2011.0,Sports,Puma Women Eco Funky Shoes
1962,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,ADIDAS Men's Duramo Leather Shoe
1963,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,ADIDAS Men's Azaro White Shoe
1964,Men,Footwear,Shoes,Casual Shoes,Blue,Winter,2010.0,Casual,ADIDAS Men's Blue Canvas Shoe
1966,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Domyos Mens Compression Black T-shirt
1972,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,Kalenji Mens White T-shirt
1973,Men,Apparel,Topwear,Tshirts,Brown,Fall,2010.0,Casual,Quechua Mens Brown T-shirt
1976,Men,Apparel,Bottomwear,Shorts,White,Summer,2011.0,Casual,Tribord Mens Short Cargo Shorts
1977,Men,Apparel,Bottomwear,Shorts,Grey,Summer,2011.0,Casual,Tribord Mens Grey Cargo Shorts
1978,Women,Apparel,Topwear,Tops,Yellow,Fall,2010.0,Casual,Puma Women Yellow Sleeveless Top
1981,Women,Apparel,Bottomwear,Shorts,Green,Fall,2010.0,Casual,Puma Women's Island Green Shorts
1982,Women,Apparel,Bottomwear,Shorts,Purple,Fall,2010.0,Casual,Puma Women's Island Shorts Purple
1983,Women,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Casual,ADIDAS Women Graphic Blue T-shirt
1984,Women,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,ADIDAS Women Graphic White T-shirt
1985,Women,Apparel,Topwear,Tshirts,Red,Fall,2010.0,Casual,ADIDAS Womens Classic Red T-shirt
1986,Women,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,ADIDAS Womens Blue V Neck T-shirt
1988,Women,Apparel,Topwear,Tshirts,Red,Fall,2010.0,Sports,ADIDAS Womens Red Tank T-shirt
1989,Women,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,ADIDAS Womens Black Tank Fitted T-shirt
1990,Women,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Sports,ADIDAS Women's New Striped Tank T-shirt
1991,Women,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Casual,ADIDAS Womens Blue  Polo T-shirt
1992,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2010.0,Sports,Puma Men's Heroes T-shirt
1993,Women,Apparel,Topwear,Tshirts,Grey,Fall,2010.0,Casual,Puma Women Femme Fatale T-shirt
1994,Women,Apparel,Topwear,Tshirts,Yellow,Fall,2010.0,Sports,Puma Women's Powergirls T-shirt
1995,Men,Apparel,Topwear,Tshirts,Red,Fall,2010.0,Casual,ADIDAS Mens Crew Red T-shirt
1996,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010.0,Sports,ADIDAS Mens Crew Grey T-shirt
1997,Men,Apparel,Bottomwear,Shorts,Grey,Fall,2010.0,Sports,Puma Men's Grey Sports Shorts
1998,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,ADIDAS Mens Fitted T-shirt
1999,Men,Apparel,Bottomwear,Track Pants,Grey,Fall,2010.0,Casual,Puma Men's Grey Track Pants
